start,end,start_ms,end_ms,speaker,text
00:18:47,00:19:43,1127796,1183426,Barry Prizant,"Yeah, it was amazing. I had a really easy time with the surgery. I took like one pain med. I decided the pain meds weren't really helping me. I not doing good things to my body. Okay not doing that. And so I'm really into natural remedies. So I took this homeopathic remedy called Arnica. Oh, okay. Instead of any of the other drugs they had given me and I went back for my check up a m a week later and my eye doctor said, I can't believe how fast you've recovered from this surgery. Great, thank you. and I r that week I also went back into vision therapy. And they don't necessarily recommend that you do that. You know, a lot of times doctors will say, Oh, you should recover first or whatever. I mean I was recovered, but not everybody will go back in that quickly. And"
00:19:23,00:19:24,1163510,1164052,David Kaufer,Wow.
00:19:43,00:19:48,1183894,1188736,Barry Prizant,"As soon as I went back in, I could do everything that I hadn't been able to be for."
00:19:50,00:19:52,1190178,1192877,David Kaufer,Wow. That must have been amazing.
00:19:53,00:20:05,1193320,1205622,Barry Prizant,"It was. Yeah. And I gained r you know, pretty good depth perception, especially close up. My depth perceptions in normal range. Further out, it's not quite as good. So I'm still working on that."
00:20:06,00:20:10,1206614,1210807,David Kaufer,"And I'm just curious, do you have twenty vision as well now? Or do you"
00:20:11,00:20:39,1211543,1239866,Barry Prizant,"there's no relationship between the way that the eyes focus together and the acuity piece. Yeah. We think that vision is just all about seeing 2020. And it's not at all. So vision therapy doesn't fix that piece. Okay. I still need glasses. Okay. So I mean I wear contacts. But yeah, that piece doesn't get fixed by therapy."
00:20:13,00:20:18,1213858,1218528,David Kaufer,Right. So the vision.
00:20:40,00:20:54,1240887,1254208,Barry Prizant,"like that. And there are other things that we can do to improve the acuity piece, but that's not typically done in a regular doctor's office. You know, that kind of goes into the realm of natural vision improvement."
00:20:55,00:21:07,1255274,1267741,David Kaufer,"Okay. But that's remarkable that you recover that quickly. Do you attribute it to the homeopathic approach that you took or just your you know, were there other steps that you took that maybe helped accelerate it?"
00:21:09,00:21:33,1269074,1293198,Barry Prizant,"I think that that's what I've typically attributed it to, but I also am really healthy and mindset also plays into it. The fact that I had never had a surgery before made it easier. You know, people who've had other strabismus surgeries, there's scar tissue that's gonna get in the way and it makes it a harder process."
00:21:33,00:21:52,1293976,1312866,David Kaufer,"No, that makes a lot of sense. You know, early w you were talking about how it affects what you know, roughly five percent of the general population, but the pi the percentage is a lot higher when you're talking about the neurodiverse or the aut you know, autistic population. Do you have any estimates of how it is?"
00:21:53,00:21:58,1313140,1318560,Barry Prizant,I thought you might ask me that. So I pulled out this book that I like. It's called I can you see it?
00:21:59,00:22:00,1319212,1320358,David Kaufer,"Yeah, I guess yeah."
00:22:00,00:22:57,1320684,1377240,Barry Prizant,"The Hidden Link Between Vision and Learning by Wendy Rosen. She's one of my podcast guests. And I knew she had told me this and that I had read it. And so I looked it up. And it says, according to her, that about 25% of children in the in the United States struggle with learning problems. And then 25% of children also have a vision problem that impedes learning. So let's see, maybe there's a connection there, right? And according to the National Center for Health Statistics, 20 to 25% of children enter school with significant vision problems. So, and that's, I mean, that's not just strubismus, that's other vision issues, right? the greatest difficulty among learning disabled children is with reading, which is affecting 75% of that population. And 80% of these children struggle with one or more visual skills."
00:22:58,00:22:58,1378520,1378921,David Kaufer,Wow.
00:22:59,00:23:02,1379576,1382249,Barry Prizant,So that's a huge number.
00:23:02,00:23:56,1382990,1436000,David Kaufer,"That is a huge number. And I as you're talking about it, I'm thinking, you know, as it relates to the autistic and the non speaking community, is that how frustrating that must be. So, you know, because there are a lot of non speakers who have gained communication through the letter border typing or you know other methodologies. That that's when it finally comes out that they have vision issues. It could be double vision or you know, so similar types of issues. Of course they had no way to share that before. Right? So they're like you said, they're trying to they're trying to cope they're trying to cope with vision issues without having the way to share that, to communicate, like, hey, I'm I can't see in three D or I can't, you know, I'm seeing double of every you know, these words are all of that."
00:23:56,00:24:05,1436630,1445585,Barry Prizant,Yeah. Well and I mean everyone thinks that this is just the way you see. They have no idea that someone else sees differently than they do.
00:24:05,00:24:11,1445760,1451777,David Kaufer,"Right, Like to your point, like growing up, right, growing up, you're like, oh it's just the this is just the way it is."
00:24:13,00:24:17,1453324,1457932,Barry Prizant,"Yeah, my daughter had no idea that anyone saw any differently than she did either, you know."
00:24:18,00:24:46,1458486,1486642,David Kaufer,"And she didn't think it was and she didn't think it was I wanna say weird, you know, but different. She didn't think anything about reading the way that she wrote read, for example. Like that was just the way it was. I you just, you know, cover up one eye and roll over and do the other eye. And that's just the yeah, that's just what you do. Yep. So what role does neuroplasticity play in vision? I mean, what you know, when it comes to this, like you said, it's not just twenty you know, looking twenty Are there"
00:24:28,00:24:34,1468589,1474306,Barry Prizant,Hello. Exactly.
00:24:47,00:24:53,1487244,1493047,David Kaufer,"Are the ther is vision therapy, does that deal with issues with the brain in terms of training the brain as well?"
00:24:54,00:25:30,1494006,1530104,Barry Prizant,"That's exactly what it's doing. Yeah. Okay. We're training the brain to see correctly. Cause the eyes themselves are just an organ, right? They the muscles are not gonna do anything you don't tell 'em to do. So if the brain isn't telling the eyes what to do, you're not gonna see properly. Regardless, you know, it real vision really is just in the brain and we don't think of it that way. We think it's what our eyes are seeing, you know. But I mean our arms aren't gonna move if our brain doesn't tell it to. So why do we think our eyes know what to do if our brain doesn't tell 'em what to do?"
00:25:31,00:26:03,1531308,1563414,David Kaufer,"Why do we think that, Denise? That's a good question. I mean th that 'cause it's true. That's a absolutely the perception. You don't think of it as a muscle, you don't think of it as something that your brain has to control. I guess unless you're really in a situation when you that kind of focus is required. Anything from like looking through a microscope or binoculars or you know, whatever where you're like, Oh, you know, you're actually focused on the task at hand, I guess. You just take it for granted? I mean"
00:26:03,00:26:09,1563886,1569914,Barry Prizant,We all take it for granted all the time. And Yeah.
00:26:08,00:26:34,1568014,1594426,David Kaufer,"Do you Yeah. Go ahead. Kind of like walking. Again, you do you take advan you take it for granted if you're able to walk. Right. If you've gone through that progression, you know, that's all you know. You learn to crawl, you learn to walk. You want to go from point A to point B, you walk there. You don't think about your brains telling your legs to move. I guess it's the same for vision."
00:26:31,00:26:56,1591054,1616922,Barry Prizant,"Exactly. And if our eye muscles aren't working properly, it's no different than any other muscle in our body, you know, and we do exercise to strengthen those muscles or to relax those muscles, right? And in the case of our eyes, we really need to relax the muscles in order for them to see properly. And we never think of it that way either, you know."
00:26:57,00:27:22,1617944,1642062,David Kaufer,"No, not at all. I mean you're starting to see some awareness in terms of eyes. I'm thinking about like with eye fatigue now with all the screen time, you know, things kind of related to that. Hey, you need to give your eyes a break. You know, you don't want to be staring at a screen for hours on end and all that. But I still feel like it's fairly shallow in terms of the approach that we take."
00:27:22,00:27:26,1642763,1646157,Barry Prizant,I agree. Absolutely. Yep.
00:27:28,00:27:43,1648298,1663242,David Kaufer,"yeah, I was thinking also with especially with kids and screen time and you know, this all overlaps, but could some you know, could these problems sometimes l look like ADHD or learning disabilities or sensory issues?"
00:27:43,00:28:10,1663774,1690390,Barry Prizant,"Absolutely. Yeah. And the fact that we see it in this population should point that out a little bit. You know, if the same kids that are struggling are the ones who have a vision problem, then w you know, which came first? And what's the best way to deal with it, right? And you know, I have another favorite book that I wanted to share."
00:28:10,00:28:11,1690892,1691728,David Kaufer,"Yeah, I'm pleased."
00:28:12,00:28:39,1692088,1719714,Barry Prizant,"There's well, there's a couple that were written by Robin and Gillian Benoit. One of them's called Jillian's Story. And then I have this one as Dear Jillian. And they talk in this book about well, in the first one, she tells Jillian's story. And Jillian had amblyopia. she had passed every eye exam. And the way she passed it, and I don't know if you know what amblyopia is or if you're"
00:28:39,00:28:39,1719086,1719606,David Kaufer,I do not
00:28:40,00:29:33,1720118,1773812,Barry Prizant,"Okay. Well s it's a type of strabismus. Amblyopia you have lower acuity in one eye. So if you can't see very well out of one eye, you're just gonna use the other eye. And that eye just kind of shuts off. And it sometimes if that happens for a long period of time, the person really goes blind in that eye. And it just kinda becomes they treat it as a permanent kind of problem. I don't agree that any of that's permanent, but There's different perceptions on that. Anyway, Jillian had pretty significant amblyopia, but she'd passed every test when they've done the eye exam at the school because she thought it was like a memorization test. And so she would listen to the kids in front of her and she wanted to get the treat, right? And so she would just rattle off whatever they said, even though she couldn't see it at all."
00:29:34,00:29:40,1774978,1780365,David Kaufer,"Wow. That's I mean it's ingenious, but again not helpful in term"
00:29:40,00:30:06,1780246,1806328,Barry Prizant,"Exactly. Yeah. And so when she finally got into vision therapy, then, you know, she was able to overcome that and gain 3D vision and then tell her story, you know. And then all these people started writing to her saying, Hey, let me tell you my story. And that's what went into the second book, right? And she did talk to someone that was autistic. Their family. Right."
00:30:04,00:30:05,1804695,1805368,David Kaufer,Oh interesting.
00:30:06,00:30:48,1806582,1848416,Barry Prizant,"And that's why I wanted to share this because I think it this is a really great story about it. he this child was only two when they figured out that he well he was diagnosed as autistic, but then they figured out that he also had an eye issue that could be helped with vision therapy. So they took him to vision therapy and he was able to progress so much that he graduated from the autistic program that he was in with the school system. They said he doesn't qualify as being autistic anymore. So I think that that's just kind of points to the fact that there's so much more going on."
00:30:40,00:30:51,1840842,1851866,David Kaufer,Interesting. Yeah. So much more going on. Absolutely.
00:30:52,00:31:19,1852524,1879468,Barry Prizant,"And we c we can we can look at the symptoms and say, well, it's gotta be this, but that may not be the case, you know. And so there's a lot of misdiagnosis of ADHD and dyslexia and all of those learning issues that we really should check the vision to see if that's what's causing the problem, or if it can help the problem. It's all working together."
00:31:17,00:31:40,1877281,1900706,David Kaufer,"Right, for sure. And it seems that there is not a big emphasis on vision screening, really. I mean it kind of it's almost like kind of a last resort. And do you think again, is that lack of awareness, Denise, or is it just resources? I mean what how what would you attribute or would you"
00:31:40,00:32:07,1900834,1927022,Barry Prizant,"There's so much that goes into that's such a loaded question. I had I had to remove myself from the school system because it was such a hot topic for me personally. Because I wanted to go in there and I wanted to tell every parent, you know what, if your child is struggling in school, you need to take them to a developmental optometrist, not a regular optometrist. Right."
00:31:44,00:31:44,1904290,1904834,David Kaufer,"Okay, it's"
00:32:07,00:32:52,1927244,1972224,Barry Prizant,"Those guys tell you everything's fine your whole life. That's what happened for me. That's what happened to my daughter. I specifically asked my optimetrist if she had a problem with depth perception. And he told me she was fine. So you can't even get this kind of a diagnosis at a regular doctor's office. And they're not gonna screen for it in a school system, right? They're only screening for acuity, you know, at the eye chart across the room. There are things they can do. that are not that hard, but they're not equipped all the time to do it. And what I found when I said, you know, I really want to tell this parent that they should take their child to their per correct eye doctor, the school system said, You can't tell them."
00:32:53,00:32:55,1973590,1975287,David Kaufer,Why what? Why not?
00:32:55,00:32:58,1975798,1978616,Barry Prizant,Because the school doesn't want to have to pay for vision therapy.
00:32:59,00:33:41,1979858,2021146,David Kaufer,"Yeah. Comes if it comes down to finances. So they don't they don't they aren't even questioning I'm drawing a parallel because in terms of like in the non speaking world the there are issues with schools not allowing the use of letterboards or communication partners in there. And again, part of it's financial, part of it in this case is also claims that, you know, it's not effective. I mean they there's a lot of other excuses they use in this. But I was curious, so with this though, you think it's purely financial are do they don't even they don't care if it's effective or not. They just care about the cost."
00:33:42,00:33:50,2022074,2030420,Barry Prizant,"Well, they're not trained to do it and they're they don't have the funds to pay f for, you know, a developmental optometrist to do it."
00:33:51,00:34:20,2031320,2060290,David Kaufer,"But they can still recommend it, couldn't they? I mean, couldn't they at least or educate I don't see the harm in at least I understand them saying, hey, we can't provide this necessarily if this is an additional cost, additional burden. I mean, I know financially, right? I mean, our we ask a lot of our schools and s and stuff, and that's a another topic, but I can at least understand that from a financial standpoint, if that's just an additional cost to burden. But to at least say, hey, here's something you should look at."
00:34:22,00:34:41,2062358,2081464,Barry Prizant,"I think it's a big problem. Yeah. That's why I'm saying I had to just not be in education. You know? And that kind of pointed me towards what I ended up doing, right? At the end of the day, that's why I'm doing podcasting because we need awareness."
00:34:42,00:34:50,2082999,2090132,David Kaufer,"So that really what that really did just kinda cause you were teaching, right? You were substantial."
00:34:47,00:35:35,2087840,2135928,Barry Prizant,"I was substituting yeah I it Yeah, no, in the meantime I had to find something that was gonna pay the bills. Right. So instead of going the route of alternative l route to licensure and getting a teaching certificate and being in the school system, I got my insurance license. I sold insurance for ten years. Finished raising my children and all of that. And in the meantime, you know, that gave me flexibility to focus on my own healing, to do my vision therapy, to get my child in. And you know, get all of that handled, get them all married off. And then that's good. then I was able to spend more time on my podcast."
00:35:30,00:35:41,2130284,2141407,David Kaufer,Ha And how and remind me how long you've been doing your podcast?
00:35:41,00:35:44,2141942,2144756,Barry Prizant,I started it in twenty about the time.
00:35:45,00:35:47,2145048,2147757,David Kaufer,"Wow, good for you. Wow. That's amazing."
00:35:48,00:36:12,2148428,2172919,Barry Prizant,"Yeah, well, and I started it before I had everybody out of the house and there were some downtimes. You know, I think every podcaster gets to the point where they're questioning whether they're able to continue, right? And my point in time happened when I had three daughters get married in the space of four months in the summer of twenty one. I blame that on COVID."
00:36:15,00:36:16,2175160,2176144,David Kaufer,COVID marriages.
00:36:16,00:36:22,2176952,2182717,Barry Prizant,"Well, they were all dating from the dating apps and stuff, you know? And they all"
00:36:22,00:36:28,2182742,2188143,David Kaufer,"Yeah, plan that a little bit, spread it out a little bit for your sake? I mean, geez, that's a lot."
00:36:28,00:37:28,2188524,2248042,Barry Prizant,"You would think. Yeah. So that happened and I had my third daughter get married by September of that year. And then the f and I had one podcast come out that year, you know, in that summer. Yeah. And then I had some technical issues and I just let life get to me, you know, the whole now I'm an empty nester, what's my life look like? And then in April of twenty two my I actually lost my husband in a motorcycle accident. Oh And so that kind of shut me down as a podcaster too, you know. So people look at my dates on my podcast, there's this huge gap in there, you know. Oh I finally had to just say, you know what, this is why I'm still here, part of why I'm still here, you know, is because I still have work to do. I mean, there's a reason why he had to go and I had to stay, you know. So I got back into it."
00:37:09,00:37:43,2229694,2263948,David Kaufer,"Well understandably. What are some of the lessons you've learned? I'm curious from podcasting, first of all, and some of the guests that you've had on there. What have what are or what are a couple of maybe surprising things that have come from it, that journey?"
00:37:45,00:38:14,2265548,2294700,Barry Prizant,"Surprising is a good question. I started to see how the whole body fits into the picture. If we look at it just from the eye standpoint, we limit ourselves, you know? And if we look at it from a whole body perspective, then we can say, okay, what is the real cause of this problem? Is there an alignment problem in the body that we can look at?"
00:37:55,00:37:55,2275136,2275612,David Kaufer,Yes.
00:38:15,00:38:39,2295064,2319058,Barry Prizant,"that will help us along the way or that is signaling that there's something going on with the eyes even. I for this is a great example of my from my own life. I was born pigeon toed. So we already have a misalignment, right? The way they handled that back in my day, since I'm so old, is that they would put casts on your on the baby's feet."
00:38:40,00:38:41,2320387,2321646,David Kaufer,I remember hearing about that.
